Total Reward,Epsilon,Average Loss,Training Time
-137348.75425342913,0.1,23009.401229206313,9.196767330169678
-89660.90888264055,0.1,23705.182250976562,9.648997783660889
-58539.655488789125,0.1,16483.706587890625,9.507877111434937
-46272.287264260965,0.1,13184.296790039063,9.175248622894287
-43629.15264900641,0.1,10814.1765625,9.361763954162598
-42633.61163250461,0.1,7357.118365966797,8.80823016166687
-51258.92959759114,0.1,3569.8066290283205,8.171396017074585
-59460.60708448778,0.1,3039.5162216796875,8.097081899642944
-66184.28332945159,0.1,2827.3618041992186,8.382861137390137
-46829.04447026745,0.1,3095.3806854248046,8.37287712097168
-47514.051595980796,0.1,3141.035127441406,8.17326021194458
-52408.689636200215,0.1,3274.6825517578127,8.250274181365967
-40726.06339810516,0.1,2799.2952424316404,8.154934167861938
-40775.5500284305,0.1,2200.040344604492,8.13099980354309
-34980.046288866426,0.1,1655.378340209961,8.091103315353394
-38259.76718038749,0.1,1625.0601379394532,8.11803126335144
-37542.41546749921,0.1,1379.235780456543,8.116867303848267
-36140.42111291047,0.1,1152.761340637207,8.083123207092285
-36353.6232090222,0.1,1045.7334138183594,8.127010107040405
-44474.903252528995,0.1,1018.3990092773438,8.079636335372925
-47424.92392521544,0.1,1100.258898071289,8.096225500106812
-38885.68327174144,0.1,1208.946941833496,8.107062816619873
-43617.23741757087,0.1,1051.7701963500976,8.073151350021362
-43086.701637380575,0.1,1017.6742803955078,8.087605237960815
-38097.58627913512,0.1,883.8874170227051,8.12401533126831
-38434.86246683574,0.1,619.4982461853027,8.057193756103516
-36379.24328365228,0.1,446.61369918823243,8.25516963005066
-35201.67873868324,0.1,354.6100924606323,8.274012327194214
-31273.294100214564,0.1,221.98706434631347,8.154929399490356
-34199.66574945088,0.1,596.1664546813964,8.200810670852661
-33918.310300975274,0.1,408.14248753356935,8.166175842285156
-34447.296118870545,0.1,525.1784993743896,8.12297534942627
-36467.74416825884,0.1,372.3637872314453,8.084122896194458
-34499.13056072105,0.1,352.31889155578614,8.067659854888916
-28695.786927624238,0.1,315.80858751678466,8.069161891937256
-32762.70796590089,0.1,425.82097360229494,8.13099980354309
-32740.330464021667,0.1,303.1106781616211,8.202799081802368
-34679.62848962014,0.1,236.9823621902466,8.1069917678833
-27287.297365331702,0.1,161.4177535018921,8.054199457168579
-31123.14483690492,0.1,272.0239107208252,8.10307002067566
-28463.2021656418,0.1,182.14638262939454,8.064672470092773
-28455.004800698953,0.1,203.36733158874512,8.189839124679565
-27616.55435199745,0.1,122.5013710975647,8.198320865631104
-32080.224337137977,0.1,105.70494095993043,8.210776329040527
-23982.184870863395,0.1,100.09751650238037,8.15293025970459
-25689.15616214658,0.1,139.47906496047975,8.864091396331787
-25745.474632072972,0.1,93.21592977905273,8.558377981185913
-26702.70598574093,0.1,79.82495942306518,8.499544382095337
-28728.32877533922,0.1,78.58125066375733,8.450132369995117
-25006.28882739735,0.1,67.33695753097534,8.467084169387817
