total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
2872.8352934122086,2.8728352934122086,15,0.015,1000,-613607.20230525,-613.60720230525
3026.0705301761627,3.026070530176163,17,0.017,1000,-503548.25831221516,-503.5482583122152
3650.840926706791,3.650840926706791,17,0.017,1000,-429912.22879712377,-429.91222879712376
3243.7130727767944,3.2437130727767944,19,0.019,1000,-510799.672673466,-510.799672673466
2207.5764959454536,2.2075764959454536,18,0.018,1000,-697684.5670243102,-697.6845670243102
3655.4640209674835,3.6554640209674836,17,0.017,1000,-534266.3974108282,-534.2663974108282
2465.547870159149,2.465547870159149,17,0.017,1000,-703468.641323909,-703.4686413239091
3006.2183425426483,3.0062183425426485,18,0.018,1000,-534878.1165223726,-534.8781165223726
4059.9141791164875,4.059914179116488,18,0.018,1000,-339911.7871061884,-339.9117871061884
3400.2857696935534,3.4002857696935536,20,0.02,1000,-597588.5988110158,-597.5885988110158
