Total Reward,Epsilon,Average Loss,Training Time
-47516.529400735846,0.1,1622.0395884065547,8.796611070632935
-66620.92335339685,0.1,2355.676102783203,8.94502568244934
-59393.29824206624,0.1,1209.9148885498048,9.025722026824951
-67952.33625684361,0.1,827.2786440124512,9.026143312454224
-55095.77561481267,0.1,716.7012786407471,9.095179796218872
-47060.37035224693,0.1,689.7020925598144,9.170756101608276
-30333.380587418822,0.1,753.2299692993164,8.866055250167847
-44670.274951688465,0.1,585.4919638671875,8.66761326789856
-45987.20676228226,0.1,452.17154956054685,8.57412576675415
-32713.01996761518,0.1,315.61600020599366,8.607266187667847
-51877.84612620798,0.1,238.85693740081788,8.501009464263916
-48605.40197265212,0.1,304.3109053878784,8.211299896240234
-56694.7274047667,0.1,326.0715993347168,8.343915700912476
-73772.47488970748,0.1,455.843933303833,8.048707485198975
-63699.96968848267,0.1,537.8632965240479,8.075073003768921
-46405.39643538489,0.1,547.9658204498292,8.711277484893799
-59960.93471318407,0.1,550.299646560669,8.259150266647339
-53638.861209347066,0.1,582.6003042297364,8.666092872619629
-60340.08856647531,0.1,610.4308743438721,9.342817068099976
-52010.238613079775,0.1,522.0760735168457,8.669088125228882
-41395.306529165726,0.1,490.27395788574216,8.18085265159607
-37383.37286408426,0.1,520.7821493988038,8.463625192642212
-42193.81171766867,0.1,404.6736689147949,8.231251955032349
-46765.33870008932,0.1,358.7075063323975,8.397794961929321
-50139.5708067148,0.1,321.303256149292,8.540735483169556
-51146.2927661613,0.1,334.71277586364744,8.379322052001953
-50635.613615855815,0.1,351.409390045166,8.369289636611938
-44757.90051454279,0.1,372.1596662750244,8.160674095153809
-48445.46325925507,0.1,349.14223106384276,8.2578604221344
-43766.09473348363,0.1,336.0010148925781,8.286088705062866
-47967.81326880087,0.1,310.69040530395506,8.460222005844116
-58475.270283602775,0.1,381.23564402008054,8.274143695831299
-50131.5954444065,0.1,405.5442631835937,8.253984451293945
-42393.90605557086,0.1,418.64463624572755,8.564855575561523
-46429.61056288342,0.1,371.45460621643065,8.086950063705444
-42011.34238076949,0.1,379.82189205932616,8.099084615707397
-40332.065702264044,0.1,316.1768017272949,7.921052932739258
-47782.99474693989,0.1,265.54245082092285,7.890127420425415
-46444.30752988859,0.1,267.4977557220459,7.9739158153533936
-39178.63007171501,0.1,259.30389744567873,7.911820411682129
-43966.057093213974,0.1,219.43190870666504,7.9190638065338135
-46854.69831414077,0.1,281.06464991760254,7.943999767303467
-39218.858167734215,0.1,264.7086795654297,7.88814377784729
-44328.64548619075,0.1,227.4828675918579,7.911083936691284
-40115.95714334012,0.1,236.94725311279296,7.920053720474243
-42013.27249299155,0.1,230.23369918823244,7.913089275360107
-46578.827852649585,0.1,212.18145595550538,7.900240659713745
-47146.10872393477,0.1,228.28044728088378,7.930031776428223
-46483.11532129374,0.1,261.6511884765625,7.892130136489868
-43476.67014646538,0.1,290.8998085708618,7.959954738616943
