Total Reward,Epsilon,Average Loss,Training Time
-88917.13390103487,0.1,754.9021170974796,20.6869478225708
-126174.34542509301,0.1,2192.112767883301,24.15143132209778
-60214.301547370575,0.1,1769.904014831543,25.55193281173706
-65713.09020290484,0.1,2381.0273632202147,22.734665155410767
-42752.73155580355,0.1,2014.376546447754,26.16572117805481
-46126.09283152709,0.1,2596.1163255615234,21.919011116027832
-49360.51356604753,0.1,1792.2078696899414,20.312376737594604
-42318.567824980375,0.1,1216.9069945373535,34.0146119594574
-47959.88586496947,0.1,1191.7000243225098,26.052957773208618
-45548.93341582505,0.1,1057.4630646057128,25.589545965194702
-47907.650445211395,0.1,944.6688499755859,24.61291003227234
-72279.53011766939,0.1,1239.6000479736329,23.832741022109985
-49117.512056308486,0.1,1161.1947717590333,26.691185235977173
-49205.63189714191,0.1,1093.2036415100097,31.02497887611389
-44518.63533641732,0.1,1054.7118391113281,28.875287771224976
-57085.824943116015,0.1,1018.0968695068359,19.39468288421631
-45794.82744243941,0.1,952.6870509643554,26.86891508102417
-50631.22414178981,0.1,886.9492797241211,29.81441593170166
-57228.96678296545,0.1,933.4462753601074,27.646042108535767
-40053.693634923824,0.1,900.4304555969238,24.90925431251526
-73153.33057991597,0.1,1342.8829078063966,23.931251764297485
-55441.39303737262,0.1,1709.9383291015624,29.543920755386353
-62643.00481087992,0.1,1632.2189733886719,26.798142194747925
-44734.39191658235,0.1,1570.703740600586,28.491586923599243
-57649.92158702624,0.1,1461.4997948608398,28.515127897262573
-57740.965994685524,0.1,1442.8785233459473,27.122658014297485
-44332.80364422028,0.1,1376.4372344360352,19.035651922225952
-44242.611268668654,0.1,1212.4827210693359,19.732556104660034
-51043.850931498724,0.1,1091.595724609375,18.834826946258545
-56347.895024946396,0.1,1087.785861541748,17.556845903396606
-47185.523822527895,0.1,1021.6224697570801,22.780009031295776
-46231.11475784862,0.1,1250.5403178100587,25.31360101699829
-55987.65621630054,0.1,1174.3493041992188,25.943254947662354
-58305.756022619964,0.1,1149.9202908935547,23.07524585723877
-52764.52384661438,0.1,1043.1645914306641,23.148492097854614
-45379.06469291124,0.1,1017.6631398315429,25.771753072738647
-44952.269459997035,0.1,958.4619936523437,20.360236167907715
-46182.69699325685,0.1,957.2335066833496,24.280159950256348
-52293.14229878022,0.1,978.9993999633789,25.351619958877563
-54583.73484182418,0.1,947.2727934265137,20.349745988845825
-45776.04135127217,0.1,916.8538108520507,20.35107398033142
-43260.66109395094,0.1,1228.1050533447265,22.940430164337158
-45199.816360411656,0.1,1139.9353801574707,30.25969696044922
-49506.25161447937,0.1,1059.6460141296386,23.96532917022705
-49829.481396848605,0.1,1031.0181465759276,23.330251216888428
-43139.84212298427,0.1,1018.6939962768555,27.402366876602173
-41022.2184653648,0.1,980.138812866211,21.818915843963623
-52120.26689156662,0.1,1008.1118849182129,19.900649070739746
-49446.582147385154,0.1,1003.3339306640624,19.899817943572998
-48739.509812069184,0.1,999.2377973022461,18.825578927993774
