total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
3639.050611257553,3.639050611257553,17,0.017,1000,-364861.32806666475,-364.8613280666647
3923.830591440201,3.923830591440201,17,0.017,1000,-380014.8813552106,-380.0148813552106
4282.328677177429,4.282328677177429,17,0.017,1000,-270750.04868143715,-270.75004868143714
3760.2023520469666,3.7602023520469667,19,0.019,1000,-596946.9235096517,-596.9469235096517
4748.881355047226,4.748881355047226,19,0.019,1000,-335741.5663012852,-335.74156630128516
3618.265573501587,3.6182655735015867,19,0.019,1000,-385147.0165640034,-385.1470165640034
4652.193854689598,4.652193854689598,20,0.02,1000,-259356.04731400497,-259.35604731400497
3761.2712510824203,3.7612712510824204,19,0.019,1000,-475705.6570425046,-475.7056570425046
4156.739804267883,4.156739804267883,20,0.02,1000,-422397.6792395198,-422.3976792395198
4058.446165509522,4.058446165509522,19,0.019,1000,-431215.91236570396,-431.21591236570396
