Total Reward,Epsilon,Average Loss,Training Time
-56688.484132655205,0.1,1622.8926769810864,8.324665784835815
-68650.63630043247,0.1,3562.0400428466796,8.81071138381958
-49712.39482904478,0.1,1752.0636664123535,8.906648635864258
-44906.81857176826,0.1,2152.8478408203123,8.979747533798218
-49000.01944963477,0.1,1908.7925185546876,9.071208000183105
-55697.31401568109,0.1,1115.856525970459,8.962970733642578
-64776.92331045039,0.1,857.383064086914,8.352105855941772
-82879.30629341085,0.1,805.1747846984863,8.4660005569458
-54401.803739860385,0.1,874.1877793579101,8.546866416931152
-94789.26156784047,0.1,1082.5075752258301,8.66701626777649
-57162.94706226902,0.1,1257.5952114562988,8.541983366012573
-57778.5310328788,0.1,2601.928226806641,8.077738285064697
-44919.33966396332,0.1,1425.4413760375976,8.320955753326416
-51204.585332628194,0.1,1257.5863179321288,8.176218271255493
-49138.62498654265,0.1,1158.9733681945802,8.566845178604126
-39697.717772492666,0.1,830.6556972045898,8.106034755706787
-69765.02919361832,0.1,974.6489894104004,8.151775121688843
-49528.66293401933,0.1,772.2478654022217,8.11313772201538
-44808.104835891565,0.1,687.4617056274415,8.308054447174072
-42129.294080583124,0.1,592.8257761077881,8.35274600982666
-36304.45246769481,0.1,553.5122302093506,8.239246606826782
-32073.49234335167,0.1,655.5983845367432,8.310014963150024
-35999.8669838569,0.1,513.8986269073487,8.135334730148315
-39177.892478237656,0.1,365.77639419555663,8.076480388641357
-43370.78792300071,0.1,334.32679748535156,8.315487623214722
-35888.255200544205,0.1,293.8568476715088,8.192841053009033
-38714.644414304305,0.1,273.8735037689209,8.197741031646729
-35283.51564421965,0.1,315.04763232421874,9.061202764511108
-39014.15554367904,0.1,314.5661980209351,8.20079231262207
-31712.893764145396,0.1,310.25680784606936,8.188334941864014
-33958.7844172126,0.1,364.5396930999756,8.94088625907898
-40337.13225360994,0.1,383.1772654876709,8.250524044036865
-36518.968002384085,0.1,332.2232606658936,8.109445571899414
-39118.574606074886,0.1,299.5717960128784,8.236719846725464
-41060.16719659246,0.1,276.62152279663087,8.247323751449585
-42118.215441003405,0.1,296.13510430145266,8.596901893615723
-39061.25492777503,0.1,311.5798042755127,8.313456535339355
-39250.29733464681,0.1,311.72888819885253,8.358348846435547
-40370.427636829365,0.1,309.15859361267087,8.220259189605713
-40115.205693712145,0.1,318.2271647796631,8.163277626037598
-37617.730280653996,0.1,320.07383964538576,8.27236294746399
-33391.02796945946,0.1,388.90570991516114,8.98324704170227
-38223.30484941646,0.1,340.4683736419678,8.883013725280762
-40339.4778758413,0.1,341.5563483581543,8.314534664154053
-44979.63520417589,0.1,319.68606585693357,8.484304904937744
-31803.734879755237,0.1,326.389648651123,8.341928958892822
-41702.75272418307,0.1,296.9476359405518,7.956020355224609
-40080.76112501693,0.1,300.78090841674805,8.100122928619385
-42996.35282263398,0.1,309.58837463378904,8.258971929550171
-40806.05457179326,0.1,321.1019508666992,8.38480281829834
