total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
794.0643898248672,0.7940643898248673,18,0.018,1000,-3054391.142587041,-3054.391142587041
1212.3750590085983,1.2123750590085984,16,0.016,1000,-2866965.8108031647,-2866.965810803165
1587.4172821044922,1.5874172821044923,18,0.018,1000,-2218954.947549195,-2218.954947549195
717.2975424742326,0.7172975424742326,19,0.019,1000,-2075595.0235434782,-2075.5950235434784
1518.62278008461,1.51862278008461,19,0.019,1000,-836832.900002177,-836.832900002177
667.6044812202454,0.6676044812202454,15,0.015,1000,-3227111.47676112,-3227.11147676112
1766.539279460907,1.766539279460907,18,0.018,1000,-930872.4375886132,-930.8724375886133
1398.4847526550293,1.3984847526550293,17,0.017,1000,-1849239.5258975248,-1849.2395258975248
1386.6669640541077,1.3866669640541076,15,0.015,1000,-2168478.600749677,-2168.478600749677
1296.7627711296082,1.2967627711296081,19,0.019,1000,-1842826.7814554092,-1842.8267814554092
