Total Reward,Epsilon,Average Loss,Training Time
-42412.52943203889,0.3676954247709635,1217.0102245624248,8.375896692276001
-63820.02427879458,0.1351999253974994,1661.9125245361329,8.811036348342896
-50126.311331688834,0.1,810.6344653015137,8.682132720947266
-40756.79819194564,0.1,392.40087199401853,8.67119836807251
-37065.91037217442,0.1,1080.8272937164306,8.766623497009277
-43238.33043743513,0.1,1099.1720872802734,8.766982078552246
-31193.58409193923,0.1,432.73175294494627,8.606630086898804
-41337.50610810102,0.1,489.5009605560303,8.224992275238037
-40011.433221526,0.1,305.0415480270386,8.236369848251343
-33159.16660425546,0.1,281.1161595001221,8.301857233047485
-38067.438333168764,0.1,262.99684851837156,8.236104965209961
-52929.23370202627,0.1,485.8240292816162,8.159913539886475
-43408.41939556124,0.1,389.0360866165161,8.167889595031738
-39752.07163376416,0.1,346.85212481689456,8.133090257644653
-33081.43355259294,0.1,320.7331046142578,8.120807886123657
-27313.651204863607,0.1,297.1649865875244,8.099256753921509
-33744.53289887975,0.1,416.25276739501953,8.15287709236145
-24415.05180547285,0.1,236.32300449371337,8.047921895980835
-41258.51150331342,0.1,278.86241300201414,8.128957986831665
-31501.8402537022,0.1,212.32662507629394,8.07416844367981
-40736.05561977103,0.1,245.85712508392334,8.127005338668823
-52829.68883337468,0.1,415.65498844909666,8.146628618240356
-42515.51235069075,0.1,413.6412897796631,8.078266859054565
-41469.53089636514,0.1,435.8158861236572,8.14492154121399
-36070.65059381985,0.1,434.6412911834717,8.14393424987793
-31657.598327650663,0.1,407.26627545166014,8.383023500442505
-37380.18336533284,0.1,344.2626813812256,8.142951488494873
-41229.48207657871,0.1,310.481517868042,8.583929061889648
-49078.587000371466,0.1,342.76919052124026,8.338082313537598
-55358.511173512656,0.1,456.4018978424072,7.884863615036011
-61819.84798476421,0.1,486.6385304260254,7.950673341751099
-36988.5269942966,0.1,829.0791626281738,8.262817144393921
-39546.21032075185,0.1,683.1413269348144,8.23406434059143
-37895.86013967303,0.1,607.9695592346192,8.31264853477478
-39806.86680767682,0.1,511.9638793334961,8.272896766662598
-39394.92689344088,0.1,426.10265408325193,8.042565822601318
-42126.61818673672,0.1,391.3585766448975,7.992164373397827
-44930.400979636775,0.1,383.8510065002441,8.322922945022583
-52369.58400196372,0.1,420.00500564575196,8.425711393356323
-42036.9638105759,0.1,448.3314148254395,8.482062816619873
-42864.09516612773,0.1,463.80899923706056,8.168892860412598
-37111.35658325787,0.1,642.7821787567138,8.07138442993164
-43562.88465853065,0.1,523.3689028930664,7.836883306503296
-44276.375901031555,0.1,526.5779341430664,7.907753944396973
-45561.5040479615,0.1,477.2706759338379,8.239216566085815
-51112.980345945594,0.1,497.43723513793947,8.03456974029541
-48700.62884203914,0.1,532.5995067443847,7.995364665985107
-53513.89407178959,0.1,588.2009511413575,8.040048599243164
-54915.15021925734,0.1,630.5440620422363,7.998547315597534
-48086.34777663278,0.1,648.9043914794922,8.068954229354858
