total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
1903.1896560192108,1.9031896560192108,16,0.016,1000,-1117422.8984723755,-1117.4228984723754
2239.665047287941,2.239665047287941,18,0.018,1000,-1007123.4094225032,-1007.1234094225032
1910.9846287667751,1.910984628766775,19,0.019,1000,-968022.9951390312,-968.0229951390312
2022.0284215211868,2.022028421521187,16,0.016,1000,-1406297.0419568715,-1406.2970419568715
2436.6974309682846,2.4366974309682847,17,0.017,1000,-1065007.670747804,-1065.007670747804
2429.4088168144226,2.4294088168144228,18,0.018,1000,-1663070.2888791575,-1663.0702888791575
3058.8707888126373,3.058870788812637,18,0.018,1000,-654289.7295288767,-654.2897295288767
2138.880471765995,2.138880471765995,19,0.019,1000,-1211018.8150761668,-1211.0188150761667
2080.9414269924164,2.0809414269924162,18,0.018,1000,-2759214.1402368303,-2759.21414023683
2062.209262728691,2.062209262728691,16,0.016,1000,-1303729.0269165514,-1303.7290269165514
