Total Reward,Epsilon,Average Loss,Training Time
-70713.0537285363,0.1,6409.760136856992,8.642267227172852
-81202.9897224096,0.1,8914.185790039062,9.459704160690308
-72704.57506618717,0.1,9429.398498535156,9.357976198196411
-59122.10206136874,0.1,7792.783058837891,9.269213199615479
-45405.47360005921,0.1,7152.300808837891,9.158509731292725
-63335.46454247623,0.1,6143.606156982421,9.264226913452148
-47769.26035772955,0.1,5140.537688232422,8.629922866821289
-47758.59333363096,0.1,3530.1861787109374,8.61296796798706
-40867.28268771446,0.1,2773.0649466552736,8.535175800323486
-39403.7705122808,0.1,2900.044351196289,8.39953899383545
-37300.922507986645,0.1,2642.7877352294922,8.141229391098022
-36390.557579103624,0.1,1702.5074086303712,8.037506818771362
-60778.57808502519,0.1,1819.517919128418,7.960712671279907
-52181.53587405055,0.1,1882.67148236084,8.034515380859375
-38760.15365844438,0.1,1846.2748259277344,7.9577202796936035
-35318.75620960218,0.1,1854.384605834961,7.972680330276489
-34765.319070974125,0.1,2156.6304334716797,7.984648704528809
-36170.03070631561,0.1,1788.0481788330078,7.978664875030518
-36319.384235745136,0.1,908.1102583312988,7.9457526206970215
-37973.504576081505,0.1,624.7129297485352,7.967693567276001
-39595.47530552754,0.1,532.4513406677246,7.971683025360107
-36980.26259439674,0.1,1301.892032775879,7.960713148117065
-35089.162328683735,0.1,1203.824921508789,7.893891096115112
-35289.92485339566,0.1,1127.719801940918,7.912840127944946
-32620.729822159978,0.1,986.893664855957,7.95572566986084
-35189.91634775558,0.1,1121.3393332214355,8.000606060028076
-37053.89208448249,0.1,786.205968536377,7.972681045532227
-38792.02782542852,0.1,619.4364335174561,7.984647989273071
-34413.40552588761,0.1,436.62223387145997,7.93378472328186
-33216.25971068378,0.1,361.7510583190918,7.907853841781616
-31990.791728490705,0.1,294.96727990722655,7.924808502197266
-34007.145349519364,0.1,895.7303166503906,8.010579347610474
-35033.6294283507,0.1,614.5017803039551,7.99561882019043
-30882.08111598766,0.1,442.811508895874,7.901869773864746
-31108.24170277976,0.1,890.8419606628418,7.997613430023193
-31976.442752732444,0.1,773.1009895629883,7.978664398193359
-28727.291413413757,0.1,766.0817361450195,7.994621992111206
-34774.879375121185,0.1,743.1431734619141,7.95772123336792
-32480.73866522624,0.1,631.6766092071533,7.911842584609985
-29560.076242918283,0.1,537.0816055908203,7.949741840362549
-27940.240861499693,0.1,401.1527717132568,7.900872707366943
-27897.93495673164,0.1,708.1930449523926,7.964701890945435
-29291.501620009076,0.1,651.3139418334961,7.9457526206970215
-29350.906746780354,0.1,337.14445460510257,7.987640619277954
-26820.464552232745,0.1,163.1413059387207,7.909848213195801
-31882.106676379844,0.1,583.873650390625,7.916830062866211
-31351.444399461267,0.1,340.365695022583,8.07740044593811
-30940.129403855204,0.1,249.805010055542,8.007587432861328
-26042.795555427732,0.1,190.75105599594116,7.977666616439819
-32124.013377887994,0.1,603.5290600280762,8.027533769607544
