total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
4666.766640424728,4.666766640424728,20,0.02,1000,-294193.0707225967,-294.1930707225967
5668.573246955872,5.668573246955871,20,0.02,1000,-114192.27195568613,-114.19227195568612
5485.433796882629,5.48543379688263,20,0.02,1000,-231785.95136278437,-231.78595136278437
5207.971894741058,5.207971894741059,20,0.02,1000,-123121.3204523224,-123.1213204523224
5044.327442646027,5.0443274426460265,18,0.018,1000,-151294.09041553788,-151.29409041553788
5873.563024520874,5.873563024520874,20,0.02,1000,-126190.48660427316,-126.19048660427316
5634.582138061523,5.634582138061523,20,0.02,1000,-122485.78654569357,-122.48578654569357
5597.973996639252,5.597973996639252,20,0.02,1000,-130836.786035298,-130.83678603529802
5868.373611450195,5.868373611450195,20,0.02,1000,-105584.92108589341,-105.58492108589341
4760.518545866013,4.760518545866012,20,0.02,1000,-198819.16542904792,-198.81916542904793
