total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
4661.593411028385,4.661593411028385,19,0.019,1000,-283430.0046692519,-283.4300046692519
3762.769315600395,3.762769315600395,19,0.019,1000,-572968.6808221973,-572.9686808221974
4494.815419256687,4.494815419256687,20,0.02,1000,-323321.9285479691,-323.3219285479691
4789.825282096863,4.789825282096863,20,0.02,1000,-852942.9083137334,-852.9429083137334
3960.7318234443665,3.9607318234443665,20,0.02,1000,-474717.6749314962,-474.7176749314962
3782.260575056076,3.782260575056076,20,0.02,1000,-633183.8998097316,-633.1838998097317
4251.258367538452,4.251258367538452,20,0.02,1000,-347791.8733098336,-347.7918733098336
4194.316903114319,4.194316903114319,19,0.019,1000,-307666.9194901963,-307.6669194901963
4702.796359062195,4.702796359062194,20,0.02,1000,-300201.39364569075,-300.20139364569076
4133.906235694885,4.1339062356948855,20,0.02,1000,-483464.32059285446,-483.46432059285445
